Adam Baum 130 60 86 116
Adam Zapel 188 79 85 106
Al Bino 154 66 97 99
Al Dente 194 51 116 122
Al Fresco 137 50 100 156
Anna Graham 145 54 79 140
Anna Prentice 175 48 83 111
Anna Recksiek 129 71 112 108
Anna Sasin 153 71 71 143
Anne Teak 163 50 96 99
Annette Curtain 127 53 84 148
April May  126 79 74 139
April Schauer  182 54 114 135
Barb Dwyer 192 62 77 121
Barbara Seville 141 77 71 149
Barry Cade 178 52 84 155
Bill Board 138 52 103 158
Bill Foldes 138 63 110 117
Bill Loney 131 78 89 105
Billy Rubin 174 53 110 148
Bob Apple 144 75 83 142
Bob Katz 138 68 81 111
Tom Katz  120 54 85 125
Kitty Katz 183 51 107 115
Brighton Early 195 54 74 127
Brock Lee 128 59 115 144
Brooke Trout 130 58 114 126
Bud Light 128 55 72 102
Bud Wieser  176 59 109 155
Cam Payne 149 70 118 123
Candace Spencer 155 71 95 97
Candy Barr  185 70 110 131
Candy Baskett  121 68 113 96
Candy Kane 145 61 78 122
Candy Sweet 146 50 77 146
Cara Sterio  142 77 115 106
Carrie Dababi  145 77 119 159
Carrie Oakey 137 64 85 150
Casey Macy 128 53 81 137
Cheri Pitts 137 54 78 116
Chip Munk 177 79 92 95
Chip Stone  162 70 79 99
Chris Coe 149 65 96 116
Chris Cross 160 79 78 155
Chuck Waggon 139 51 72 156
Constance Noring 197 56 107 117
Corey O.Graff 148 77 106 134
Count Dunn 148 55 114 148
Craven Moorehead 177 62 72 103
Crystal Ball 119 69 106 137
Dan Druff 168 52 96 151
Darren Deeds 147 58 108 107
Daryl Rhea 147 79 72 154
Dick Tator 148 63 71 141
Dilbert Pickles 140 51 112 120
Dinah Soares 152 61 87 114
Don Key 168 52 71 152
Donald Duck 199 67 109 119
Donny Brook 192 73 95 116
Doris Schutt  171 66 88 114
Doug Graves 176 75 103 156
Doug Hole 137 61 114 146
Doug Witherspoon 133 69 80 134
Douglas Furr 136 74 81 151
Drew Peacock 140 66 79 121
Duane Pipe 177 52 98 108
Dusty Rhodes 181 69 90 111
Edna May  184 48 90 152
Easton West  174 79 86 158
Eaton Wright  145 70 113 135
Liv Good 159 64 77 98
Ella Vader 199 76 108 102
Emma Royds 193 49 112 136
Ernie Coli  144 57 106 136
Estelle Hertz  186 78 71 125
Evan Keel 122 50 73 149
Faith Christian 177 78 98 140
Ferris Wheeler 199 50 119 159
Ford Parker 194 75 103 147
Forrest Green 170 60 112 142
Gail Storm  189 79 89 140
Windy Storm 177 49 102 119
Dusty Storm 185 76 106 109
Rory Storm 129 57 93 128
Weston East 187 76 89 113
Gene Poole 183 74 76 101
